[100, 3.247, -3.932, 1.230]
[100, 3.247, -3.689, 1.230]
[100, 3.247, -3.689, 1.687]
[101, 3.247, -3.689, 1.687]
[101, 3.336, -3.689, 1.687]
[101, 3.336, -3.870, 1.687]
[101, 3.336, -3.870, 0.968]
[102, 3.336, -3.870, 0.968]
[103, 3.336, -3.870, 0.968]
[104, 3.336, -3.870, 0.968]
[104, 3.796, -3.870, 0.968]
[104, 3.796, -3.615, 0.968]
[104, 3.796, -3.615, 1.301]
[105, 3.796, -3.615, 1.301]
[105, 4.046, -3.615, 1.301]
[105, 4.046, -3.525, 1.301]
[105, 4.046, -3.525, 1.265]
[106, 4.046, -3.525, 1.265]
[106, 4.256, -3.525, 1.265]
[106, 4.256, -3.347, 1.265]
[106, 4.256, -3.347, 1.059]
[107, 4.256, -3.347, 1.059]
[107, 4.108, -3.347, 1.059]
[107, 4.108, -3.500, 1.059]
[107, 4.108, -3.500, 1.280]
[108, 4.108, -3.500, 1.280]
[108, 4.145, -3.500, 1.280]
[108, 4.145, -3.472, 1.280]
[108, 4.145, -3.472, 1.288]
[109, 4.145, -3.472, 1.288]
[109, 4.178, -3.472, 1.288]
[109, 4.178, -3.452, 1.288]
[109, 4.178, -3.452, 1.304]
[110, 4.178, -3.452, 1.304]
[110, 4.207, -3.452, 1.304]
[110, 4.207, -3.444, 1.304]
[110, 4.207, -3.444, 1.289]
[111, 4.207, -3.444, 1.289]
[111, 4.221, -3.444, 1.289]
[111, 4.221, -3.420, 1.289]
[111, 4.221, -3.420, 1.346]
[112, 4.221, -3.420, 1.346]
[112, 4.247, -3.420, 1.346]
[112, 4.247, -3.402, 1.346]
[112, 4.247, -3.402, 1.342]
[113, 4.247, -3.402, 1.342]
[113, 4.265, -3.402, 1.342]
[113, 4.265, -3.391, 1.342]
[113, 4.265, -3.391, 1.329]
[114, 4.265, -3.391, 1.329]
[114, 4.167, -3.391, 1.329]
[114, 4.167, -3.495, 1.329]
[114, 4.167, -3.495, 1.468]
[115, 4.167, -3.495, 1.468]
[115, 4.312, -3.495, 1.468]
[115, 4.312, -3.556, 1.468]
[115, 4.312, -3.556, 1.287]
[116, 4.312, -3.556, 1.287]
[116, 4.344, -3.556, 1.287]
[116, 4.344, -3.632, 1.287]
[116, 4.344, -3.632, 1.271]
[117, 4.344, -3.632, 1.271]
[117, 4.354, -3.632, 1.271]
[117, 4.354, -3.667, 1.271]
[117, 4.354, -3.667, 1.386]
[118, 4.354, -3.667, 1.386]
[118, 4.390, -3.667, 1.386]
[118, 4.390, -3.782, 1.386]
[118, 4.390, -3.782, 1.219]
[119, 4.390, -3.782, 1.219]
[119, 4.404, -3.782, 1.219]
[119, 4.404, -3.938, 1.219]
[119, 4.404, -3.938, 0.940]
[120, 4.404, -3.938, 0.940]
[120, 4.423, -3.938, 0.940]
